,Year of Study,Primary Programme,Gender,Department,Housing Type,Q2-How many events have you Participated in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?
775,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,3,6,2,2.0
776,2,Bachelor of Science,M,School of Science,Out of Campus,1,3,2,2.0
777,4,Bachelor of Science,M,School of Science,Out of Campus,1,3,2,2.0
778,2,Bachelor of Science,F,School of Science,Out of Campus,2,2,2,2.0
779,3,Bachelor of Science,F,School of Science,Out of Campus,0,2,2,2.0
780,1,Bachelor of Science,M,School of Science,Residences,1,2,2,2.0
781,1,Bachelor of Business Admin,F,School of Business School,Halls,1,2,2,2.0
782,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,3,5,2,1.0
783,3,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,3,2,2.0
784,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,4,2,2.0
785,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,4,1,2.0
786,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
787,2,Bachelor of Science,F,School of Science,Out of Campus,0,3,1,2.0
788,4,Bachelor of Laws,F,School of Law,Out of Campus,1,4,1,2.0
789,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,4,2,1.0
790,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
791,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,5,2,2.0
792,4,Bachelor of Science,M,School of Science,Out of Campus,1,4,2,2.0
793,2,Bachelor of Env Studies (FASS),F,School of Arts & Social Science,Residential Colleges,1,2,2,2.0
794,1,Bachelor of Env Studies (FOS),F,School of Science,Out of Campus,1,2,1,2.0
795,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,6,2,2.0
796,3,Bachelor of Science,M,School of Science,Out of Campus,0,2,2,2.0
797,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,2,2,2.0
798,3,Bachelor of Science,M,School of Science,Residential Colleges,2,4,2,2.0
799,1,Bachelor of Business Admin,F,School of Business School,Residences,1,3,2,2.0
800,1,Bachelor of Music,F,School of Conservatory of Music,Halls,1,1,2,2.0
801,2,Bachelor of Science,M,School of Science,Residential Colleges,2,5,2,2.0
802,1,Bachelor of Science,M,School of Science,Out of Campus,1,1,2,2.0
804,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,1,2.0
805,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,4,1,2.0
806,2,Bachelor of Computing,M,School of Computing,Out of Campus,2,3,2,3.0
807,4,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,7,2,1.0
808,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
809,3,Bachelor of Science (SOC),M,School of Computing,Residential Colleges,4,4,2,2.0
810,2,Bachelor of Engineering,F,School of Engineering,Halls,3,3,2,2.0
811,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
812,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,9,1,1.0
813,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,1,5,2,2.0
814,3,Bachelor of Business Admin,M,School of Business School,Out of Campus,3,5,2,2.0
815,2,Bachelor of Science,F,School of Science,Out of Campus,2,4,2,2.0
816,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,3,2,2.0
817,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
819,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,1,2.0
820,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,7,2,3.0
821,3,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,6,2,1.0
822,2,Bachelor of Science,F,School of Science,Out of Campus,0,5,1,2.0
823,2,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,2,4,2,2.0
824,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,4,2,2.0
825,2,Bachelor of Business Admin,M,School of Business School,Out of Campus,4,1,1,0.0
827,2,Bachelor of Science,F,School of Science,Residences,1,6,2,1.0
829,1,Bachelor of Business Admin,F,School of Business School,Halls,3,4,2,1.0
831,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,3,2,2.0
832,5,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,0,1,2,2.0
833,2,Bachelor of Science,F,School of Science,Out of Campus,3,2,2,2.0
834,4,Bachelor of Engineering,F,School of Engineering,Halls,4,4,2,2.0
835,4,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Residential Colleges,1,3,2,2.0
837,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,3,3,2.0
838,2,Bachelor of Business Admin,F,School of Business School,Residential Colleges,3,3,2,3.0
839,2,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,1,2,3.0
840,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,4,2,1.0
841,3,Bachelor of Science,F,School of Science,Halls,3,3,1,2.0
843,2,Bachelor of Engineering,M,School of Engineering,Halls,1,2,2,2.0
844,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,1,2,2.0
845,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,2,2,2.0
846,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,1.0
847,4,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,3,2,2.0
848,1,Bachelor of Science,M,School of Science,Out of Campus,1,2,3,2.0
849,1,Bachelor of Science (SOC),M,School of Computing,Residential Colleges,2,1,2,2.0
850,4,Bachelor of Science,F,School of Science,Out of Campus,2,8,2,1.0
852,1,Bachelor of Science,F,School of Science,Out of Campus,1,5,2,3.0
853,1,Bachelor of Science,M,School of Science,Out of Campus,1,4,2,2.0
854,1,Bachelor of Engineering,M,School of Engineering,Halls,2,3,2,2.0
855,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
856,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,0,5,0,0.0
857,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,4,1,2.0
859,2,Bachelor of Computing,F,School of Computing,Residences,4,3,2,2.0
860,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,1,3,2,2.0
861,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,6,2,1.0
862,4,Bachelor of Engineering,F,School of Engineering,Halls,3,3,2,2.0
863,3,Bachelor of Science (SDE),F,School of Design & Environment,Halls,3,2,2,2.0
864,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,0,3,2,2.0
865,2,Bachelor of Science (SOC),M,School of Computing,Out of Campus,1,2,2,2.0
866,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,9,2,2.0
867,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
869,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,3,2,2.0
870,2,Bachelor of Science,M,School of Science,Out of Campus,0,3,2,2.0
873,1,Bachelor of Science (SOC),M,School of Computing,Halls,2,3,2,2.0
874,4,Bachelor of Engineering,F,School of Engineering,Halls,1,2,2,2.0
875,3,Bachelor of Science,F,School of Science,Out of Campus,3,3,2,2.0
877,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,3,2,2.0
878,1,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,3,9,2,2.0
879,1,Bachelor of Arts,M,School of Arts & Social Science,Halls,2,5,1,3.0
880,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
882,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
884,2,Bachelor of Business Admin,M,School of Business School,Halls,2,3,2,3.0
885,3,Bachelor of Science,F,School of Science,Out of Campus,2,4,1,1.0
886,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,3,2,2.0
887,2,Bachelor of Science,M,School of Science,Residential Colleges,2,2,2,2.0
888,3,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
890,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,1,4,2,2.0
894,2,Yale-University Bachelor's Program,M,School of Foreign College,Out of Campus,2,6,2,2.0
895,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,1,2,2.0
896,2,Bachelor of Business Admin,F,School of Business School,Halls,2,2,2,1.0
897,1,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,1,2,2,2.0
898,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,2,5,1,1.0
899,1,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,3,2,2.0
900,1,Bachelor of Science,F,School of Science,Residential Colleges,2,3,2,2.0
901,4,Bachelor of Engineering,M,School of Engineering,Halls,2,4,3,2.0
902,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,3,8,2,2.0
903,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,3,2,2.0
904,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,3,2,2.0
905,3,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,4,2,2.0
906,3,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,1.0
907,2,Bachelor of Science,F,School of Science,Halls,2,5,2,3.0
908,4,Bachelor of Science,F,School of Science,Halls,1,1,2,2.0
909,1,Bachelor of Engineering,F,School of Engineering,Residential Colleges,1,3,2,2.0
910,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,2,1,2.0
911,3,Bachelor of Arts (SDE),F,School of Design & Environment,Out of Campus,2,4,2,2.0
912,3,Bachelor of Science,F,School of Science,Out of Campus,1,4,1,2.0
913,2,Bachelor of Science,M,School of Science,Out of Campus,1,1,2,2.0
914,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,4,2,2.0
915,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,3,2,2.0
916,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Halls,1,1,2,2.0
917,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,7,1,2.0
918,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,1,2,2.0
919,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,3,2,2.0
920,3,Bachelor of Science,F,School of Science,Out of Campus,2,4,1,1.0
921,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,4,2,2.0
922,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,3,2,2.0
923,2,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,2,9,1,2.0
924,5,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,1,2.0
925,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,1.0
926,4,Bachelor of Laws,F,School of Law,Out of Campus,1,4,0,1.0
928,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,0,3,2,2.0
929,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,2,5,2,1.0
930,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,1,2,1.0
931,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
932,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,0,4,2,2.0
933,3,Bachelor of Science,F,School of Science,Out of Campus,0,2,1,2.0
934,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,3,5,1,0.0
935,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,2,2,2.0
936,1,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,2,2,3,2.0
937,3,Bachelor of Science (Pharmacy),M,School of Science,Halls,3,3,2,2.0
938,3,Bachelor of Science,M,School of Science,Residential Colleges,1,2,2,2.0
939,1,Bachelor of Science,M,School of Science,Out of Campus,1,7,2,2.0
941,4,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,4,9,2,1.0
942,1,Bachelor of Business Admin,F,School of Business School,Halls,1,3,2,3.0
943,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,2,2.0
944,1,Bachelor of Laws,F,School of Law,Residential Colleges,1,2,2,1.0
945,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,1,2,2.0
946,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,2,1,3,2.0
947,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,2,2.0
948,2,Bachelor of Computing,F,School of Computing,Halls,2,1,2,2.0
949,3,Bachelor of Arts (SDE),F,School of Design & Environment,Out of Campus,2,1,2,2.0
950,1,Bachelor of Laws,F,School of Law,Residential Colleges,1,3,2,2.0
951,3,Bachelor of Science,F,School of Science,Out of Campus,1,7,0,2.0
952,3,"Bach. of Med.,Bach. of Surg.",M,School of Medicine1,Out of Campus,1,6,2,3.0
953,3,Bachelor of Science,F,School of Science,Out of Campus,3,4,2,2.0
954,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,1,1.0
955,2,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,3,2,2.0
956,2,Bachelor of Science,F,School of Science,Out of Campus,0,3,2,2.0
957,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,0,2,0,1.0
958,3,Bachelor of Business Admin,M,School of Business School,Halls,2,2,2,1.0
959,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,2,2,2.0
960,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,2,2.0
961,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,8,2,2.0
962,3,Bachelor of Arts (SDE),F,School of Design & Environment,Out of Campus,2,1,2,2.0
963,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
964,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,5,2,2.0
965,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,3,2,1.0
966,2,Bachelor of Engineering,M,School of Engineering,Residences,2,5,1,2.0
967,1,Bachelor of Engineering,F,School of Engineering,Halls,1,2,2,2.0
968,3,Bachelor of Science,M,School of Science,Out of Campus,4,1,2,2.0
969,1,Bachelor of Science,F,School of Science,Out of Campus,1,8,2,2.0
970,2,Bachelor of Science,M,School of Science,Out of Campus,1,4,1,2.0
971,3,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,1,2,2.0
972,1,Bachelor of Science,F,School of Science,Halls,1,4,2,3.0
973,1,Bachelor of Science (Nursing),F,School of Medicine1,Halls,2,6,1,1.0
974,4,Bachelor of Business Admin,M,School of Business School,Halls,1,2,2,2.0
975,1,Bachelor of Engineering,F,School of Engineering,Halls,4,7,2,3.0
976,1,Yale-University Bachelor's Program,M,School of Foreign College,Out of Campus,1,1,1,2.0
977,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
978,2,Bachelor of Business Admin,F,School of Business School,Residential Colleges,1,3,2,2.0
979,2,Bachelor of Science,M,School of Science,Out of Campus,2,6,2,2.0
980,1,Bachelor of Business Admin,F,School of Business School,Residences,1,5,2,2.0
981,1,Bachelor of Computing,M,School of Computing,Halls,1,3,2,2.0
982,3,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
983,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,3,2,2.0
984,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,1,1,2,2.0
985,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,3,2,2,2.0
986,4,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,2,2,2.0
987,3,Bachelor of Engineering,M,School of Engineering,Halls,0,5,1,2.0
988,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,3,2.0
989,2,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
990,1,Bachelor of Computing,F,School of Computing,Residential Colleges,2,2,2,3.0
991,1,"Bach. of Med.,Bach. of Surg.",M,School of Medicine1,Out of Campus,0,1,2,3.0
992,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,1,2,1.0
993,1,Bachelor of Science (Pharmacy),F,School of Science,Halls,1,3,2,2.0
994,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,3.0
995,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,2,2,2.0
996,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,4,2,3.0
997,1,Bachelor of Engineering,M,School of Engineering,Halls,3,3,2,2.0
998,1,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,1,2,2,2.0
999,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,3,3.0
1000,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,1,1.0
1001,2,Bachelor of Science,M,School of Science,Out of Campus,1,1,2,2.0
1002,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,4,2,2.0
1003,4,Bachelor of Business Admin,M,School of Business School,Halls,3,3,2,1.0
1004,1,Bachelor of Computing,M,School of Computing,Out of Campus,2,1,2,3.0
1008,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
1009,1,Bachelor of Arts,M,School of Arts & Social Science,Halls,1,6,2,2.0
1010,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,2,1.0
1011,1,Bachelor of Env Studies (FOS),F,School of Science,Out of Campus,2,1,3,2.0
1012,2,Bachelor of Science,F,School of Science,Out of Campus,0,2,2,2.0
1013,1,Bachelor of Engineering,F,School of Engineering,Halls,1,2,2,2.0
1014,3,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,0,5,2,2.0
1015,4,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,3,2,2.0
1016,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,5,2,2.0
1018,1,Bachelor of Laws,M,School of Law,Out of Campus,0,1,2,2.0
1019,1,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,1,5,1,2.0
1020,4,Bachelor of Arts,F,School of Foreign College,Out of Campus,2,3,2,2.0
1021,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,1,1,3,2.0
1022,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,2.0
1023,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,3,2,2,2.0
1024,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,2,3,2,3.0
1025,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,1,2,2.0
1026,2,Bachelor of Engineering,F,School of Engineering,Residential Colleges,1,4,1,3.0
1027,1,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
1028,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,5,1,2.0
1029,4,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,1,2,2.0
1030,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,1,5,2,2.0
1031,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,2,2,1,2.0
1032,1,Bachelor of Science,F,School of Science,Out of Campus,3,4,2,2.0
1033,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,0,3,1,1.0
1034,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,5,2,2.0
1035,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,4,2,0.0
1036,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
1037,1,Bachelor of Computing,M,School of Computing,Out of Campus,1,3,0,3.0
1038,1,Bachelor of Env Studies (FOS),M,School of Science,Residential Colleges,0,3,2,2.0
1039,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,6,1,1.0
1040,2,Bachelor of Engineering,F,School of Engineering,Halls,2,1,3,3.0
1041,2,Bachelor of Science,F,School of Science,Out of Campus,2,1,2,2.0
1042,4,Bachelor of Engineering,M,School of Engineering,Halls,2,3,1,2.0
1043,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,5,2,2.0
1044,1,Bachelor of Dental Surgery,F,School of Dentistry,Halls,0,1,2,2.0
1045,2,Bachelor of Science,F,School of Science,Out of Campus,1,5,1,1.0
1046,2,Bachelor of Arts,F,School of Arts & Social Science,Residences,2,4,2,2.0
1047,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,4,2,2.0
1048,2,Bachelor of Science,M,School of Science,Halls,4,3,2,2.0
1049,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,2.0
1050,2,Bachelor of Science,F,School of Science,Out of Campus,0,2,1,2.0
1051,4,Bachelor of Science,F,School of Science,Out of Campus,2,4,2,2.0
1052,2,Bachelor of Dental Surgery,F,School of Dentistry,Out of Campus,2,6,2,2.0
1053,4,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,0,2,2,2.0
1054,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
1056,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
1057,1,Bachelor of Business Admin,M,School of Business School,Residential Colleges,3,3,2,3.0
1058,2,Bachelor of Science,F,School of Science,Out of Campus,2,2,2,2.0
1059,2,Bachelor of Env Studies (FASS),F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
1060,1,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,0,2,3,2.0
1061,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,3,2,2.0
1062,1,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,2,3,2.0
1064,2,Bachelor of Science,F,School of Science,Out of Campus,0,2,2,2.0
1065,2,Bachelor of Science (Pharmacy),M,School of Science,Residential Colleges,2,7,2,2.0
1066,4,Bachelor of Science,F,School of Science,Out of Campus,3,5,2,2.0
1067,4,Bachelor of Engineering,M,School of Engineering,Residences,1,5,1,2.0
1068,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,2,2,2,2.0
1069,1,Bachelor of Music,F,School of Conservatory of Music,Halls,0,1,2,2.0
1070,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,2,2,2.0
1071,1,Bachelor of Science (Pharmacy),F,School of Science,Residential Colleges,3,1,2,1.0
1072,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,0,3,2,2.0
1073,2,Bachelor of Science (SDE),M,School of Design & Environment,Halls,2,4,2,2.0
1074,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,1,2.0
1075,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,6,2,2.0
1076,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,6,2,2.0
1077,3,Bachelor of Business Admin,F,School of Business School,Halls,2,3,2,1.0
1078,2,Bachelor of Science,F,School of Science,Out of Campus,2,2,2,2.0
1079,1,Bachelor of Business Admin,F,School of Business School,Halls,1,2,2,2.0
1080,3,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,2,2,1.0
1081,1,Bachelor of Science (SDE),F,School of Design & Environment,Halls,2,4,3,2.0
1082,1,Bachelor of Computing,M,School of Computing,Out of Campus,1,1,1,2.0
1083,3,Bachelor of Science,F,School of Science,Out of Campus,1,1,2,2.0
1084,4,Bachelor of Science,F,School of Science,Out of Campus,1,6,2,2.0
1085,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,5,2,2.0
1086,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,1,1,2,2.0
1087,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
1088,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,3.0
1089,4,Bachelor of Science,M,School of Science,Residences,1,4,3,3.0
1090,2,Bachelor of Engineering,M,School of Engineering,Residential Colleges,3,2,2,2.0
1091,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,6,1,1.0
1092,3,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
1093,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,1,2,2.0
1094,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,4,1,1.0
1095,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,0,3,2,1.0
1096,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,3,1,2,2.0
1097,1,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,4,2,1.0
1098,1,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,1,1,2,2.0
1099,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,2,1.0
1100,1,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,0,2,1,1.0
1101,1,Bachelor of Science,F,School of Science,Out of Campus,2,4,1,2.0
1102,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
1104,2,Bachelor of Science (SDE),M,School of Design & Environment,Halls,3,7,2,2.0
1105,2,Bachelor of Science,F,School of Science,Out of Campus,3,2,2,1.0
1106,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,1.0
1107,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,1,2,2.0
1108,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,1,2,2.0
1109,1,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,5,1,1.0
1110,1,Bachelor of Engineering,M,School of Engineering,Halls,1,4,2,2.0
1111,4,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,1,2,2.0
1112,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,1,2,1.0
1113,3,Bachelor of Science,M,School of Science,Halls,1,2,1,2.0
1114,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,4,2,3.0
1115,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,1,2,2.0
1116,1,Bachelor of Engineering,M,School of Engineering,Halls,1,1,2,2.0
1117,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,2,2.0
1118,3,Bachelor of Computing,F,School of Computing,Out of Campus,2,7,2,2.0
1119,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,2,3,3,2.0
1120,3,Bachelor of Science,F,School of Science,Residences,1,1,2,2.0
1121,1,Bachelor of Engineering (CEG),F,School of Multi Disciplinary Programme,Out of Campus,1,3,1,3.0
1122,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,0,3,1,1.0
1123,3,Bachelor of Env Studies (FOS),F,School of Science,Out of Campus,1,1,2,2.0
1124,4,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
1125,3,Bachelor of Arts,F,School of Arts & Social Science,Residences,4,9,2,1.0
1126,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,4,2,2.0
1127,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,4,2,2.0
1128,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,0,1,2,1.0
1129,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,2,2,2.0
1130,4,Bachelor of Science,F,School of Science,Out of Campus,2,4,2,2.0
1131,2,Bachelor of Science,F,School of Science,Out of Campus,3,2,2,2.0
1132,1,Bachelor of Laws,F,School of Law,Out of Campus,1,4,1,2.0
1133,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,0,2,1,2.0
1134,1,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,2,2,2.0
