,Year of Study,Primary Programme,Gender,Department,Housing Type,Q2-How many events have you Participated in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?
2450,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,2,2.0
2451,2,Bachelor of Science,F,School of Science,Out of Campus,2,4,2,2.0
2452,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,1,2.0
2454,2,Bachelor of Env Studies (FASS),M,School of Arts & Social Science,Halls,1,4,2,2.0
2455,4,Bachelor of Science,M,School of Science,Out of Campus,2,1,2,2.0
2456,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
2457,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,4,3,2.0
2460,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,2.0
2461,4,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,6,2,1.0
2462,3,Bachelor of Science,F,School of Science,Out of Campus,2,4,2,1.0
2463,2,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
2464,1,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,2,2,2,2.0
2465,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,3,5,2,2.0
2466,4,Bachelor of Business Admin,F,School of Business School,Halls,3,4,3,1.0
2467,4,Bachelor of Business Admin,F,School of Business School,Halls,1,2,2,2.0
2468,3,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,2,2,1.0
2469,2,Bachelor of Science,F,School of Science,Out of Campus,2,6,2,2.0
2470,1,Bachelor of Science,M,School of Science,Residences,2,1,3,2.0
2471,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,3,1,2.0
2472,1,Bachelor of Arts (SDE),F,School of Design & Environment,Out of Campus,0,3,1,2.0
2473,2,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,2.0
2474,2,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
2475,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,6,0,1.0
2476,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,2,2,1.0
2477,2,Bachelor of Science,F,School of Science,Residential Colleges,2,1,2,2.0
2478,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,4,2,3.0
2479,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,3.0
2480,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,1.0
2481,2,Bachelor of Science (SDE),M,School of Design & Environment,Halls,2,2,2,2.0
2482,2,Bachelor of Engineering,F,School of Engineering,Halls,3,2,2,2.0
2483,3,Bachelor of Dental Surgery,F,School of Dentistry,Out of Campus,0,3,1,2.0
